7
X1: 0,0669872981077807 Y1: 0,75 X2: 0,06817526162463178 Y2: 0,75 Colour: -16711936
X1: 0,06817526162463178 Y1: 0,75 X2: 0,06876924338305732 Y2: 0,7510288065843621 Colour: -16711936
X1: 0,06876924338305732 Y1: 0,7510288065843621 X2: 0,06936322514148285 Y2: 0,75 Colour: -16711936
X1: 0,06936322514148285 Y1: 0,75 X2: 0,07055118865833394 Y2: 0,75 Colour: -16711936
X1: 0,07055118865833394 Y1: 0,75 X2: 0,07114517041675948 Y2: 0,7510288065843621 Colour: -16711935
X1: 0,07114517041675948 Y1: 0,7510288065843621 X2: 0,07055118865833394 Y2: 0,7520576131687243 Colour: -16711935
X1: 0,07055118865833394 Y1: 0,7520576131687243 X2: 0,07173915217518503 Y2: 0,7520576131687242 Colour: -16711935
X1: 0,07173915217518503 Y1: 0,7520576131687242 X2: 0,07233313393361057 Y2: 0,7530864197530864 Colour: -16711935
X1: 0,07233313393361057 Y1: 0,7530864197530864 X2: 0,07292711569203611 Y2: 0,7520576131687243 Colour: -16711935
X1: 0,07292711569203611 Y1: 0,7520576131687243 X2: 0,0741150792088872 Y2: 0,7520576131687243 Colour: -16711935
X1: 0,0741150792088872 Y1: 0,7520576131687243 X2: 0,07352109745046165 Y2: 0,7510288065843622 Colour: -16711935
X1: 0,07352109745046165 Y1: 0,7510288065843622 X2: 0,07411507920888719 Y2: 0,75 Colour: -16711935
X1: 0,07411507920888719 Y1: 0,75 X2: 0,07530304272573826 Y2: 0,75 Colour: -16711934
X1: 0,07530304272573826 Y1: 0,75 X2: 0,0758970244841638 Y2: 0,7510288065843621 Colour: -16711934
X1: 0,0758970244841638 Y1: 0,7510288065843621 X2: 0,07649100624258934 Y2: 0,75 Colour: -16711934
X1: 0,07649100624258934 Y1: 0,75 X2: 0,07767896975944043 Y2: 0,75 Colour: -16711934
X1: 0,07767896975944043 Y1: 0,75 X2: 0,07827295151786597 Y2: 0,7510288065843621 Colour: -16711934
X1: 0,07827295151786597 Y1: 0,7510288065843621 X2: 0,07767896975944043 Y2: 0,7520576131687243 Colour: -16711934
X1: 0,07767896975944043 Y1: 0,7520576131687243 X2: 0,07886693327629152 Y2: 0,7520576131687242 Colour: -16711934
X1: 0,07886693327629152 Y1: 0,7520576131687242 X2: 0,07946091503471706 Y2: 0,7530864197530864 Colour: -16711934
X1: 0,07946091503471706 Y1: 0,7530864197530864 X2: 0,0788669332762915 Y2: 0,7541152263374485 Colour: -16711933
X1: 0,0788669332762915 Y1: 0,7541152263374485 X2: 0,07767896975944041 Y2: 0,7541152263374485 Colour: -16711933
X1: 0,07767896975944041 Y1: 0,7541152263374485 X2: 0,07827295151786595 Y2: 0,7551440329218106 Colour: -16711933
X1: 0,07827295151786595 Y1: 0,7551440329218106 X2: 0,07767896975944041 Y2: 0,7561728395061729 Colour: -16711933
X1: 0,07767896975944041 Y1: 0,7561728395061729 X2: 0,0788669332762915 Y2: 0,7561728395061729 Colour: -16711933
